discipline,asset_kind,part_no,name,manufacturer,series,device_kind,poles,current_a,curve,u_n_v,i_cn_ka,frame_a,ac3_current_a,kw_max_400,fl_min_a,fl_max_a,ratio,primary_a,secondary_a,gltf_key,tags
electrical,component_3d,NXB-63 C6 1P,MCB NXB-63 C6 1P,CHINT,NXB,MCB,1,6,C,230,6,,,,,,,,,rnd-3d-assets/chint/NXB-63_C6_1P.glb,"MCB,NXB63,1P,C"
electrical,component_3d,NXB-63 C10 1P,MCB NXB-63 C10 1P,CHINT,NXB,MCB,1,10,C,230,6,,,,,,,,,rnd-3d-assets/chint/NXB-63_C10_1P.glb,"MCB,NXB63,1P,C"
electrical,component_3d,NXB-63 C16 1P,MCB NXB-63 C16 1P,CHINT,NXB,MCB,1,16,C,230,6,,,,,,,,,rnd-3d-assets/chint/NXB-63_C16_1P.glb,"MCB,NXB63,1P,C"
electrical,component_3d,NXB-63 C20 1P,MCB NXB-63 C20 1P,CHINT,NXB,MCB,1,20,C,230,6,,,,,,,,,rnd-3d-assets/chint/NXB-63_C20_1P.glb,"MCB,NXB63,1P,C"
electrical,component_3d,NXB-63 C25 1P,MCB NXB-63 C25 1P,CHINT,NXB,MCB,1,25,C,230,6,,,,,,,,,rnd-3d-assets/chint/NXB-63_C25_1P.glb,"MCB,NXB63,1P,C"
electrical,component_3d,NXB-63 C32 1P,MCB NXB-63 C32 1P,CHINT,NXB,MCB,1,32,C,230,6,,,,,,,,,rnd-3d-assets/chint/NXB-63_C32_1P.glb,"MCB,NXB63,1P,C"
electrical,component_3d,NXB-63 C40 1P,MCB NXB-63 C40 1P,CHINT,NXB,MCB,1,40,C,230,6,,,,,,,,,rnd-3d-assets/chint/NXB-63_C40_1P.glb,"MCB,NXB63,1P,C"
electrical,component_3d,NXB-63 C50 1P,MCB NXB-63 C50 1P,CHINT,NXB,MCB,1,50,C,230,6,,,,,,,,,rnd-3d-assets/chint/NXB-63_C50_1P.glb,"MCB,NXB63,1P,C"
electrical,component_3d,NXB-63 C63 1P,MCB NXB-63 C63 1P,CHINT,NXB,MCB,1,63,C,230,6,,,,,,,,,rnd-3d-assets/chint/NXB-63_C63_1P.glb,"MCB,NXB63,1P,C"
electrical,component_3d,NXB-63 D6 1P,MCB NXB-63 D6 1P,CHINT,NXB,MCB,1,6,D,230,6,,,,,,,,,rnd-3d-assets/chint/NXB-63_D6_1P.glb,"MCB,NXB63,1P,D"
electrical,component_3d,NXB-63 D10 1P,MCB NXB-63 D10 1P,CHINT,NXB,MCB,1,10,D,230,6,,,,,,,,,rnd-3d-assets/chint/NXB-63_D10_1P.glb,"MCB,NXB63,1P,D"
electrical,component_3d,NXB-63 D16 1P,MCB NXB-63 D16 1P,CHINT,NXB,MCB,1,16,D,230,6,,,,,,,,,rnd-3d-assets/chint/NXB-63_D16_1P.glb,"MCB,NXB63,1P,D"
