discipline,asset_kind,part_no,name,manufacturer,series,node_type,flow_m3h_max,head_m_max,micron,dn,pn,material,gltf_key,tags
plumbing,component_3d,CPM-200,Pump CPM-200 5m3h/35m,Pedrollo,centrifugal,pump,5,35,,,,cast iron,rnd-3d-assets/plumbing/pump_CPM-200.glb,"pump,CPM-200"
plumbing,component_3d,CPM-400,Pump CPM-400 8m3h/45m,Pedrollo,centrifugal,pump,8,45,,,,cast iron,rnd-3d-assets/plumbing/pump_CPM-400.glb,"pump,CPM-400"
plumbing,component_3d,CPM-600,Pump CPM-600 12m3h/50m,Pedrollo,centrifugal,pump,12,50,,,,cast iron,rnd-3d-assets/plumbing/pump_CPM-600.glb,"pump,CPM-600"
plumbing,component_3d,NM-4,Pump NM-4 18m3h/55m,Pedrollo,centrifugal,pump,18,55,,,,cast iron,rnd-3d-assets/plumbing/pump_NM-4.glb,"pump,NM-4"
plumbing,component_3d,NM-25,Pump NM-25 25m3h/60m,Pedrollo,centrifugal,pump,25,60,,,,cast iron,rnd-3d-assets/plumbing/pump_NM-25.glb,"pump,NM-25"
plumbing,component_3d,NMS-4,Pump NMS-4 30m3h/70m,Pedrollo,centrifugal,pump,30,70,,,,stainless steel,rnd-3d-assets/plumbing/pump_NMS-4.glb,"pump,NMS-4"
plumbing,component_3d,CME-15-2,Pump CME-15-2 15m3h/60m,Grundfos,centrifugal,pump,15,60,,,,stainless steel,rnd-3d-assets/plumbing/pump_CME-15-2.glb,"pump,CME-15-2"
plumbing,component_3d,CR-3,Pump CR-3 3.6m3h/80m,Grundfos,centrifugal,pump,3.6,80,,,,stainless steel,rnd-3d-assets/plumbing/pump_CR-3.glb,"pump,CR-3"
plumbing,component_3d,CR-5,Pump CR-5 7m3h/100m,Grundfos,centrifugal,pump,7,100,,,,stainless steel,rnd-3d-assets/plumbing/pump_CR-5.glb,"pump,CR-5"
plumbing,component_3d,Disc-130-15,Filter Disc-130-15 130um / 15m3h,Amiad,disc,filter,15,,130,,,,rnd-3d-assets/plumbing/filter_Disc-130-15.glb,"filter,disc"
plumbing,component_3d,Disc-130-25,Filter Disc-130-25 130um / 25m3h,Amiad,disc,filter,25,,130,,,,rnd-3d-assets/plumbing/filter_Disc-130-25.glb,"filter,disc"
plumbing,component_3d,Disc-100-15,Filter Disc-100-15 100um / 15m3h,Amiad,disc,filter,15,,100,,,,rnd-3d-assets/plumbing/filter_Disc-100-15.glb,"filter,disc"
plumbing,component_3d,Sand-130-15,Filter Sand-130-15 130um / 15m3h,Arkal,sand,filter,15,,130,,,,rnd-3d-assets/plumbing/filter_Sand-130-15.glb,"filter,sand"
plumbing,component_3d,Sand-130-25,Filter Sand-130-25 130um / 25m3h,Arkal,sand,filter,25,,130,,,,rnd-3d-assets/plumbing/filter_Sand-130-25.glb,"filter,sand"
plumbing,component_3d,Sand-100-30,Filter Sand-100-30 100um / 30m3h,Arkal,sand,filter,30,,100,,,,rnd-3d-assets/plumbing/filter_Sand-100-30.glb,"filter,sand"
plumbing,component_3d,Screen-200-10,Filter Screen-200-10 200um / 10m3h,Arkal,screen,filter,10,,200,,,,rnd-3d-assets/plumbing/filter_Screen-200-10.glb,"filter,screen"
plumbing,component_3d,PIPE-PE-DN25,Pipe PE DN25,generic,,pipe,,,,25,10,PE,rnd-3d-assets/plumbing/pipe_PE_25.glb,"pipe,PE,DN25"
plumbing,component_3d,PIPE-PE-DN32,Pipe PE DN32,generic,,pipe,,,,32,10,PE,rnd-3d-assets/plumbing/pipe_PE_32.glb,"pipe,PE,DN32"
plumbing,component_3d,PIPE-PE-DN40,Pipe PE DN40,generic,,pipe,,,,40,10,PE,rnd-3d-assets/plumbing/pipe_PE_40.glb,"pipe,PE,DN40"
plumbing,component_3d,PIPE-PE-DN50,Pipe PE DN50,generic,,pipe,,,,50,10,PE,rnd-3d-assets/plumbing/pipe_PE_50.glb,"pipe,PE,DN50"
plumbing,component_3d,PIPE-PE-DN63,Pipe PE DN63,generic,,pipe,,,,63,10,PE,rnd-3d-assets/plumbing/pipe_PE_63.glb,"pipe,PE,DN63"
plumbing,component_3d,PIPE-PE-DN75,Pipe PE DN75,generic,,pipe,,,,75,10,PE,rnd-3d-assets/plumbing/pipe_PE_75.glb,"pipe,PE,DN75"
plumbing,component_3d,PIPE-PE-DN90,Pipe PE DN90,generic,,pipe,,,,90,10,PE,rnd-3d-assets/plumbing/pipe_PE_90.glb,"pipe,PE,DN90"
plumbing,component_3d,PIPE-PE-DN110,Pipe PE DN110,generic,,pipe,,,,110,10,PE,rnd-3d-assets/plumbing/pipe_PE_110.glb,"pipe,PE,DN110"
plumbing,component_3d,PIPE-PE-DN125,Pipe PE DN125,generic,,pipe,,,,125,10,PE,rnd-3d-assets/plumbing/pipe_PE_125.glb,"pipe,PE,DN125"
plumbing,component_3d,PIPE-PE-DN160,Pipe PE DN160,generic,,pipe,,,,160,10,PE,rnd-3d-assets/plumbing/pipe_PE_160.glb,"pipe,PE,DN160"
plumbing,component_3d,PIPE-PVC-DN25,Pipe PVC DN25,generic,,pipe,,,,25,16,PVC,rnd-3d-assets/plumbing/pipe_PVC_25.glb,"pipe,PVC,DN25"
plumbing,component_3d,PIPE-PVC-DN32,Pipe PVC DN32,generic,,pipe,,,,32,16,PVC,rnd-3d-assets/plumbing/pipe_PVC_32.glb,"pipe,PVC,DN32"
plumbing,component_3d,PIPE-PVC-DN40,Pipe PVC DN40,generic,,pipe,,,,40,16,PVC,rnd-3d-assets/plumbing/pipe_PVC_40.glb,"pipe,PVC,DN40"
plumbing,component_3d,PIPE-PVC-DN50,Pipe PVC DN50,generic,,pipe,,,,50,16,PVC,rnd-3d-assets/plumbing/pipe_PVC_50.glb,"pipe,PVC,DN50"
plumbing,component_3d,PIPE-PVC-DN63,Pipe PVC DN63,generic,,pipe,,,,63,16,PVC,rnd-3d-assets/plumbing/pipe_PVC_63.glb,"pipe,PVC,DN63"
plumbing,component_3d,PIPE-PVC-DN75,Pipe PVC DN75,generic,,pipe,,,,75,16,PVC,rnd-3d-assets/plumbing/pipe_PVC_75.glb,"pipe,PVC,DN75"
plumbing,component_3d,PIPE-PVC-DN90,Pipe PVC DN90,generic,,pipe,,,,90,16,PVC,rnd-3d-assets/plumbing/pipe_PVC_90.glb,"pipe,PVC,DN90"
plumbing,component_3d,PIPE-PVC-DN110,Pipe PVC DN110,generic,,pipe,,,,110,16,PVC,rnd-3d-assets/plumbing/pipe_PVC_110.glb,"pipe,PVC,DN110"
plumbing,component_3d,PIPE-PVC-DN160,Pipe PVC DN160,generic,,pipe,,,,160,16,PVC,rnd-3d-assets/plumbing/pipe_PVC_160.glb,"pipe,PVC,DN160"
plumbing,component_3d,PIPE-Steel-DN50,Pipe Steel DN50,generic,,pipe,,,,50,25,Steel,rnd-3d-assets/plumbing/pipe_Steel_50.glb,"pipe,Steel,DN50"
plumbing,component_3d,PIPE-Steel-DN80,Pipe Steel DN80,generic,,pipe,,,,80,25,Steel,rnd-3d-assets/plumbing/pipe_Steel_80.glb,"pipe,Steel,DN80"
plumbing,component_3d,PIPE-Steel-DN100,Pipe Steel DN100,generic,,pipe,,,,100,25,Steel,rnd-3d-assets/plumbing/pipe_Steel_100.glb,"pipe,Steel,DN100"
plumbing,component_3d,PIPE-Steel-DN150,Pipe Steel DN150,generic,,pipe,,,,150,25,Steel,rnd-3d-assets/plumbing/pipe_Steel_150.glb,"pipe,Steel,DN150"
plumbing,component_3d,VBALL-50-10-PVC,Valve VBALL-50-10-PVC,generic,,valve,,,,50,10,PVC,rnd-3d-assets/plumbing/VBALL-50-10-PVC.glb,"valve,DN50,PN10"
plumbing,component_3d,VBALL-65-10-PVC,Valve VBALL-65-10-PVC,generic,,valve,,,,65,10,PVC,rnd-3d-assets/plumbing/VBALL-65-10-PVC.glb,"valve,DN65,PN10"
plumbing,component_3d,VBALL-80-10-PVC,Valve VBALL-80-10-PVC,generic,,valve,,,,80,10,PVC,rnd-3d-assets/plumbing/VBALL-80-10-PVC.glb,"valve,DN80,PN10"
plumbing,component_3d,VBUTT-100-16-Cast,Valve VBUTT-100-16-Cast,generic,,valve,,,,100,16,cast iron,rnd-3d-assets/plumbing/VBUTT-100-16-Cast.glb,"valve,DN100,PN16"
plumbing,component_3d,VBUTT-150-16-Cast,Valve VBUTT-150-16-Cast,generic,,valve,,,,150,16,cast iron,rnd-3d-assets/plumbing/VBUTT-150-16-Cast.glb,"valve,DN150,PN16"
plumbing,component_3d,VSOL-25-10-PVC,Valve VSOL-25-10-PVC,Bermad,,valve,,,,25,10,PVC,rnd-3d-assets/plumbing/VSOL-25-10-PVC.glb,"valve,DN25,PN10"
